title,currency,price
The Requiem Red,£,22.65
The Dirty Little Secrets of Getting Your Dream Job,£,33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£,17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£,22.6
"Starving Hearts (Triangular Trade Trilogy, #1)",£,13.99
Shakespeare's Sonnets,£,20.66
Set Me Free,£,17.46
Rip it Up and Start Again,£,35.02
Olio,£,23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,£,37.59
